證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3,475,423","273,248,775","78.55","79.00","78.40","78.95","+0.40","1,860"
"0051","元大中型100","4,000","127,270","31.87","31.87","31.80","31.80","-0.07","4"
"0052","富邦科技","23,251","1,203,301","52.50","52.95","51.05","51.15","-1.75","25"
"0053","元大電子","115,000","3,915,760","34.01","34.15","33.96","34.15","+0.15","14"
"0054","元大台商50","6,000","136,440","22.70","22.83","22.70","22.83","+0.05","3"
"0055","元大MSCI金融","22,000","374,870","17.14","17.14","17.00","17.01","-0.07","13"
"0056","元大高股息","1,296,217","32,620,219","25.26","25.26","25.12","25.20","-0.02","623"
"0057","富邦摩台","2,000","96,980","48.52","48.52","48.46","48.46","-0.09","2"
"0058","富邦發達","1,000","45,220","45.22","45.22","45.22","45.22","-0.02","1"
"0059","富邦金融","1,000","41,830","41.83","41.83","41.83","41.83","-0.03","1"
"0061","元大寶滬深","689,157","12,703,303","18.44","18.49","18.39","18.43","-0.07","166"
"006203","元大MSCI台灣","3,000","110,140","36.72","36.72","36.70","36.70","-0.12","3"
"006204","永豐臺灣加權","4,000","208,800","52.15","52.25","52.15","52.20","-0.20","4"
"006205","富邦上証","2,324,541","71,956,438","30.89","31.06","30.89","30.91","+0.11","383"
"006206","元大上證50","352,100","10,914,946","31.00","31.09","30.88","30.92","+0.09","106"
"006207","FH滬深","404,000","9,442,390","23.24","23.46","23.24","23.42","+0.18","135"
"006208","富邦台50","4,746","218,070","45.90","46.13","45.90","45.90","-0.08","10"
"00625K","富邦上証+R","2,000","13,260","6.63","6.63","6.63","6.63","+0.02","2"
"00631L","元大台灣50正2","1,743,027","59,433,023","34.00","34.34","33.87","34.20","+0.16","580"
"00632R","元大台灣50反1","35,051,445","460,274,581","13.15","13.18","13.08","13.11","-0.03","3,122"
"00633L","富邦上証正2","19,477,424","798,740,891","41.00","41.37","40.69","40.84","+0.14","3,312"
"00634R","富邦上証反1","1,104,000","7,959,650","7.20","7.22","7.18","7.22","-0.02","72"
"00635U","元大S&P黃金","335,495","6,753,684","20.08","20.14","20.08","20.14","+0.06","83"
"00636","國泰中國A50","2,072,922","41,577,903","20.03","20.15","19.98","20.02","+0.05","544"
"00636K","國泰中國A50+U","1,100","7,460","6.80","6.80","6.78","6.78","+0.08","2"
"00637L","元大滬深300正2","59,672,067","924,539,991","15.50","15.61","15.38","15.42","+0.04","7,050"
"00638R","元大滬深300反1","111,000","1,644,270","14.83","14.86","14.75","14.86","-0.03","33"
"00639","富邦深100","2,528,960","28,185,872","11.10","11.18","11.10","11.11","+0.06","256"
"00640L","富邦日本正2","418,000","10,079,470","24.36","24.36","24.07","24.07","-0.06","25"
"00641R","富邦日本反1","131,000","1,904,880","14.48","14.55","14.48","14.52","-0.01","21"
"00642U","元大S&P石油","691,989","14,484,687","20.93","20.95","20.91","20.95","+0.21","180"
"00643","群益深証中小","1,572,000","23,849,370","15.10","15.22","15.10","15.21","+0.16","235"
"00643K","群益深証中小+R","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
